takes_female,plural,classification,verb_id,frequency_rank,DOsentence,PDsentence,theme_type,theme_id,recipient_id,i,trial_set,bert_ratio,BehavDOpreference,ngram_ratio,lstm_ratio,gpt2_ratio,gpt2-large_ratio,lstm-large_ratio,verb_count,loose_default_ratio
False,False,alternating,101,1,Bob took the man wearing the hat the meal,Bob took the meal to the man wearing the hat,def,1,longDefinite,1,50,-9.382768508803563,8.25,1.1121711730957031,-5.851462483406067,-6.164727210998535,-7.235075056552887,-12.006509244441986,2187.0,-0.9193367958068848
False,False,alternating,101,1,Michael took a woman who was from work the meal,Michael took the meal to a woman who was from work,def,1,longIndefinite,2,1,-15.68060072103981,15.4,0.706298828125,-4.340145468711853,-3.94523823261261,-6.129499793052673,-10.278103947639464,2187.0,-0.8082170486450195
False,False,alternating,101,1,Linda took him the meal,Linda took the meal to him,def,1,pronoun,3,51,-5.968521508970298,25.0,2.401910781860352,-2.0526683926582336,-0.3437581062316894,-2.816399097442627,10.603262424468994,2187.0,-1.5686683654785156
False,False,alternating,101,1,Linda took the man the meal,Linda took the meal to the man,def,1,shortDefinite,4,2,0.4530550562776625,16.0,2.36859130859375,0.2573882341384887,-2.9749690294265747,-4.401578903198242,-4.488988876342773,2187.0,-1.4756650924682617
False,False,alternating,101,1,Mary took a man the meal,Mary took the meal to a man,def,1,shortIndefinite,5,53,-9.19244372448884,10.846153846153848,0.9070587158203124,-4.522878408432007,-4.056804180145264,-4.884245157241821,-4.385728120803833,2187.0,-1.6905946731567383
False,False,alternating,101,1,Juan took the woman wearing the hat the blanket,Juan took the blanket to the woman wearing the hat,def,2,longDefinite,6,3,-11.161921286024151,5.285714285714286,0.5793800354003906,-4.866676092147827,-4.2044970989227295,-3.960003614425659,-4.756903529167175,2187.0,-1.0974183082580566
False,False,alternating,101,1,Mary took a man who was wearing a hat the blanket,Mary took the blanket to a man who was wearing a hat,def,2,longIndefinite,7,54,-21.73359584645368,3.75,-0.6209793090820312,-6.443044602870941,-5.709006726741791,-8.596064746379852,-12.40698343515396,2187.0,-1.2436623573303223
False,False,alternating,101,1,Alice took him the blanket,Alice took the blanket to him,def,2,pronoun,8,4,-3.3347135421354324,18.53846153846154,2.5657958984375,-2.844175338745117,0.950258493423462,-2.655930995941162,-7.664673805236816,2187.0,-1.3394527435302734
False,False,alternating,101,1,Michael took the woman the blanket,Michael took the blanket to the woman,def,2,shortDefinite,9,55,6.535887373087462,27.07692307692308,1.4873008728027344,-0.5654314756393433,-0.2448735237121582,-3.8780455589294434,-2.700969338417053,2187.0,-1.0899925231933594
False,False,alternating,101,1,Alice took a woman the blanket,Alice took the blanket to a woman,def,2,shortIndefinite,10,6,-10.022489220835268,25.0,1.6697063446044922,-2.192742943763733,-3.653618812561035,-4.649705410003662,-6.522225618362427,2187.0,-1.7408833503723145
